City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
santander,100,,1603762304,66,43.46,-3.8,55.99,10.29
lichinga,87,,1603762304,82,-13.31,35.24,62.11,7.52
port-gentil,100,,1603762304,85,-0.72,8.78,78.08,13.02
biskamzha,100,,1603762305,87,53.45,89.53,37.47,1.9
poronaysk,59,,1603762305,60,49.22,143.12,46.45,3.47
karpathos,1,,1603762305,82,35.51,27.21,66.2,6.93
jijiga,98,,1603762305,38,9.35,42.8,56.14,3.18
estelle,0,,1603762305,99,29.85,-90.11,73.99,4.94
mantua,100,,1603762306,96,45.17,10.78,55.99,1.01
turukhansk,0,,1603762306,87,65.82,87.98,-2.0,7.09
hillsborough,20,,1603762306,24,37.57,-122.38,69.8,16.11
smithers,75,,1603762026,85,54.78,-127.17,35.6,2.08
sambava,6,,1603762367,84,-14.27,50.17,69.94,7.34
kottagudem,0,,1603762367,81,17.55,80.63,71.82,3.47
comodoro rivadavia,0,,1603762227,42,-45.87,-67.5,62.6,12.75
jumla,0,,1603762367,37,29.27,82.18,49.39,4.14
tuatapere,50,,1603762368,62,-46.13,167.68,57.99,5.01
tocopilla,22,,1603762313,63,-22.09,-70.2,59.83,2.44
troitskoye,100,,1603762368,75,52.98,84.68,39.0,11.3
hami,100,,1603762368,46,42.8,93.45,46.69,4.16
heihe,40,,1603762369,65,50.24,127.49,41.0,6.71
areka,0,,1603762369,43,7.07,37.7,56.16,5.93
nome,75,,1603762369,64,64.5,-165.41,36.0,11.41
vanimo,0,,1603762369,60,-2.67,141.3,85.73,5.1
boali,20,,1603762370,100,4.8,18.13,71.6,1.57
mineiros,100,,1603762370,84,-17.57,-52.55,71.83,5.41
sergeyevka,100,,1603762370,98,53.88,67.42,32.0,9.73
ambanja,36,,1603762370,86,-13.68,48.45,72.36,2.66
apollonia,0,,1603762371,77,36.97,24.72,66.2,8.05
hue,20,,1603762371,88,16.47,107.6,78.8,2.24
morant bay,20,,1603762371,78,17.88,-76.41,82.4,20.8
dickinson,20,,1603762371,88,29.46,-95.05,75.2,9.17
pangai,75,,1603762372,94,-19.8,-174.35,73.4,8.05
rantepao,98,,1603762372,54,-2.97,119.9,82.02,3.69
yatou,0,,1603762372,49,37.15,122.38,65.98,6.71
sain alto,0,,1603762372,38,23.58,-103.25,66.63,10.56
cap-aux-meules,90,,1603762372,80,47.38,-61.86,41.0,3.36
evensk,99,,1603762373,87,61.95,159.23,32.63,11.83
half moon bay,1,,1603762373,45,37.46,-122.43,69.8,10.29
sola,75,,1603762373,88,-13.88,167.55,80.6,11.41
andrews,90,,1603762373,100,32.32,-102.55,26.6,16.11
pakxe,75,,1603762374,88,15.12,105.78,75.2,2.24
menongue,51,,1603762374,40,-14.66,17.69,67.87,4.05
matara,61,,1603762374,81,5.95,80.54,80.28,5.95
nsunga,75,,1603762374,83,-1.14,31.39,69.8,4.7
oktyabrskoye,18,,1603762375,93,43.06,44.74,48.2,4.47
lufilufi,40,,1603762375,79,-13.87,-171.6,86.0,12.75
flinders,90,,1603762116,93,-34.58,150.86,64.99,8.05
stephenville,90,,1603762375,100,32.22,-98.2,37.0,17.22
rio grande,100,,1603762090,99,-32.03,-52.1,62.01,5.99
red wing,1,,1603762243,62,44.56,-92.53,24.8,4.7
araouane,0,,1603762376,14,18.9,-3.53,84.31,6.38
muisne,100,,1603762376,84,0.6,-80.03,75.07,6.73
farkhor,0,,1603762376,87,37.49,69.4,48.2,2.95
barra patuca,100,,1603762376,75,15.8,-84.28,80.11,6.44
gat,0,,1603762377,100,31.61,34.76,70.0,0.76
northam,100,,1603762377,81,51.03,-4.22,50.0,8.01
biltine,30,,1603762377,23,14.53,20.92,75.92,6.33
palmas de monte alto,33,,1603762377,68,-14.27,-43.16,76.86,0.2
netivot,0,,1603762378,100,31.42,34.59,70.0,1.54
navahrudak,0,,1603762378,92,53.6,25.83,46.13,13.35
naze,20,,1603762378,57,28.37,129.48,78.8,8.05
mogadishu,48,,1603762200,83,2.04,45.34,79.21,7.14
cabedelo,20,,1603762394,83,-6.98,-34.83,78.8,4.7
chiojdu,0,,1603762439,83,45.35,26.2,41.0,10
buraydah,0,,1603762439,30,26.33,43.98,60.8,4.7
sakaraha,0,,1603762439,57,-22.9,44.53,67.64,1.36
beinamar,21,,1603762440,56,8.67,15.38,71.11,3.22
aulnoye-aymeries,70,,1603762440,93,50.2,3.84,46.0,1.99
broken hill,90,,1603762440,67,-31.95,141.43,59.0,9.17
moreira sales,37,,1603762440,93,-24.06,-53.01,67.3,4.5
gramada,0,,1603762440,8,43.83,22.66,45.0,1.59
surt,0,,1603762441,78,31.21,16.59,69.66,14.65
umm lajj,0,,1603762441,48,25.02,37.27,78.71,8.59
tigil,100,,1603762441,62,57.8,158.67,43.97,4.27
liberal,90,,1603762441,79,37.04,-100.92,19.4,12.75
raduzhnyy,100,,1603762442,96,62.1,77.47,20.82,15.46
don sak,20,,1603762442,74,9.32,99.69,84.2,4.7
flin flon,4,,1603762442,89,54.77,-101.86,23.2,5.64
naivasha,86,,1603762442,87,-0.72,36.44,57.0,8.01
west wendover,1,,1603762443,22,40.74,-114.07,35.6,2.66
osakarovka,51,,1603762443,78,50.56,72.57,36.82,21.25
nha trang,75,,1603762443,88,12.25,109.18,82.4,3.36
